"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Timothy Corcoran","Reviewed in the United States on December 22, 2023","5.0 out of 5 stars","The Amazon Basics Low-Profile Wired USB Keyboard has proven to be a reliable and budget-friendly solution that exceeded my expectations. I found myself in need of a wired keyboard after my employer implemented a policy prohibiting wireless alternatives due to security concerns. This budget-friendly option has not only complied with the workplace guidelines but has also become a pleasant surprise in terms of performance.The key feel is excellent, offering a comfortable and responsive typing experience. The low-profile design ensures a sleek and modern appearance, and I appreciate how the keyboard lays flat and stays securely in place during use. Its simplicity is its strength, and it's refreshing to find a no-frills keyboard that gets the job done effectively.One of the standout features is the affordability – it's incredibly inexpensive, making it an accessible option for anyone on a budget. In terms of functionality, reliability, and price, the Amazon Basics Low-Profile Wired USB Keyboard is a solid choice for those seeking a no-nonsense keyboard that performs exceptionally well.",5,NA
"2","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Mike Doyle","Reviewed in the United States on October 1, 2024","","Works as designed, easy to install, feels good to the touch.  What more can you ask for.",5,NA
"3","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Valerie V","Reviewed in the United States on October 3, 2024","Affordable Excellence","",5,NA
"4","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Matt","Reviewed in the United States on November 5, 2024","5.0 out of 5 stars","The media could not be loaded.",4,NA
"5","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Dina Hill","Reviewed in the United States on November 26, 2024","","Basic!!!! No fuss, no frills just a standard keyboard. This is not wireless. It has the soft touch and is so quiet. I can work late at night and in the morning without disturbing anyone. It’s easy and functional, don’t expect any compliments on how cute it is but also never worry that it’s not going to work!!!",5,NA
"6","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Cynthia J. Yesensky","Reviewed in the United States on March 9, 2023","Good, simple, keyboard.","I searched everywhere. Literally everywhere. I dislike mechanical keyboards and hate the ""clicky-feeling"" that others seem to like so much. This keyboard is the only one that was full-size, not mechanical, not some weird shape, and was under $50. Beyond that, it's a basic keyboard that just works and was perfect for my needs. No need to worry about gaming capability either, it has enough simultaneous keyboard inputs that I haven't had any issues",5,NA
"7","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","l","Reviewed in the United States on July 6, 2024","5.0 out of 5 stars","This keyboard is great especially for the price.  Plugged in and no problems.",5,NA
"8","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Liz","Reviewed in the United States on September 17, 2024","","After lots of online shopping and researching, I bought this basic but good keyboard as a replacement to my Dell original keyboard.  Every keyboard takes getting used to and this one doesn't take long at all.  It's worth the $11ish.  You'll be happy if you're not picky.  I type a good amount and find this to be good enough (it serves me well), esp at the price point.  Some say the keys are mushy and I didn't know what that meant until I used it.  That said, it's not bad.  You get used to the overall feel and it won't slow you down.  If you're a fast typist, then you'll be fast on this too.  It's fairly quiet, not clacky like my original Dell keyboard.It's a bit smaller L x W than my previous keyboard which is good as I was trying to save space, but it's basically a standard-sized full keyboard.  USB cord is pretty long at about 5 1/2 ft and has no problem reaching from my desk to the CPU on the floor outside my desk several feet away (there are some turns and it reaches with slack to spare).  It's actually longer than my original Dell keyboard cord.I would recommend it.  I don't love it, but good is good enough and I'm content with it.  I'd buy it again knowing what I know.  If you don't like it, return it or store it for backup as you can't lose for the price.  Or, give it away as a Christmas White Elephant gift!",4,NA
"9","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Nanobaby","Reviewed in Canada on October 10, 2024","Basic is best!!!","i bought this after my 2015 macbook pro keyboard stopped working. i just needed something cheap and basic to plug in so that i could type. this does the job, was at an OK price ($20ish), but my only complaint is that the keyboard does NOT like up so good luck using this at night with no light, and sometimes you have to remove the usb from the macbook and plug it back in in able for it to work.minor gripes which definitely aren't deal breakers, and i am using it to type this write now, so i recommend this for anyone who needs an emergency keyboard.",5,NA
"10","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","T","Reviewed in Canada on October 8, 2024","4.0 out of 5 stars","I really liked this keyboard, I like how the buttons press and it is fairly quiet.  However it disconnects frequently such that I cannot type on it until I unplug it and re-plug it in.  I have to do this multiple times over the course of a day.  I decided to return it because of this inconvenience (didn't want to be in the middle of something important when it decides to disconnect).  I have a Macbook Pro so it's possible that the issue is because I'm on a Mac instead of a Windows machine, hard to say without testing it on a Windows machine.  I am going to buy a Mac-specific keyboard instead.",5,NA
"11","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Fer Peña","Reviewed in Mexico on August 22, 2024","","The regular wireless keyboard and mouse stopped working on a desktop computer. My family uses that desktop so we needed replacements ASAP. Loves the quick shipping. The plug and play made the transition easy and quick.",5,NA
"12","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Fer Peña","Reviewed in Canada on November 23, 2024","Cheapest good full-size keyboard around (at time of purchase)","Keys aren’t big and aggressive like the old school ones with the loud clicks. Soft keyboard but still gives the feedback when you press the keys. Slim enough to carry around with my laptop and use as a proper keyboard. Good price. No complaints here.",5,NA
"13","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Caitlin Howald","Reviewed in Mexico on August 28, 2024","5.0 out of 5 stars","El teclado está súper bien, todo funciona y prende como debe. Además de que suena muy bien! El problema es que no leí bien y lo pedí en inglés el teclado, pero configurando el idioma se soluciona y queda un súper teclado. No lo recomiendo si no te sabes los botones en el teclado de español puesto que si te llegarás a confudir por el cambio de posición de algunas teclas. Si te lo sabes, te lo súper recomiendo! Buena compra 👍",5,NA
"14","Keyboard","AmazonBasics Matte Keyboard QWERTY Layout","Gerardo Isidoro Reyes",NA,"","",5,NA
"15","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","sh","Reviewed in the United States on November 5, 2024","5.0 out of 5 stars","The mouse is good but for some reason the light doesn’t work right now. Probably will work later. The keyboard is really good.The money was for it was ok. The comfort was top-notch!",5,NA
"16","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Jill Martin","Reviewed in the United States on November 17, 2024","","The mouse isn't great but it's good enough for the price. I love the keyboard!",5,NA
"17","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","AJ","Reviewed in the United States on November 15, 2024","Perfect Birthday Gift (It was worth it)","The keyboard mouse combo was delivered sept 16 2024. There is a lot I like about this product. The keyboard feels good to type on, and the mouse has good performance. For basic use these are good items. I would say that if you are a gamer, the mouse had some intermittent issues with response. NOT for gamers.All of that could lead to a good review except for a few glaring problems.1. The battery life on the keyboard is not comparable to other products. It lasts a few days, which is good, but there are other similar products that get better life.2. The keyboard has had intermittent issues where it will just stop working. This is not battery related. The fix has been a combination of restarting the keyboard, reseating the USB, or at times restarting the computer altogether.3. The mouse is dead. Did not last even 2 months and nothing I have done has been able to fix it.While I will be contacting customer support I don't have much hope for a decent resolution. Average customer support sucks in this day and age. I will edit this review with that experience at a later date.As of now, I would not recommend or buy from redthunder again.--Update--Redthunder was initialy kind enough to reach out and offer full refund. Awesome... right?No.I accepted, to which they then sent a canned how to on fixing a keyboard. wait, sorry, one little piece about fixing a mouse that wont pair. As my mouse is dead and wont turn on (yes I know how to charge it), neither of these will work for me.Still no refund.Had they not reached out, or said ""sorry, past the return date"", I would have written this off. But I despise people/companies who promise one thing then dont fallow through. Or just ignore in this case.One star. Horrid customer service, bad business, worse product... Do no purchase.",1,NA
"18","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Dillon","Reviewed in the United States on November 8, 2024","5.0 out of 5 stars","Keyboard is garbage. After a little over 3 months power intermittently shuts off and back on even when fully charged & plugged into power. On top of that I’ve barely even used it. Complete waste of money wouldn’t recommend. Keys also feel cheap. After seeing my review they sent me another keyboard and mouse. Customer service was great so I give them 4 stars.",4,NA
"19","Keyboard","RedThunder Wireless Rechargeable Mechanical Anti-Ghosting","Julian","Reviewed in the United States on March 3, 2024","","I recently invested in the RedThunder K10 Wireless Gaming Keyboard and Mouse, and the duo has proven to be a stellar addition to my gaming setup. This wireless combo stands out for its exceptional performance, sleek design, and gamer-friendly features, making it a compelling choice for those seeking a reliable and affordable wireless gaming solution.The keyboard boasts an impressive design that immediately catches the eye. The RGB backlighting adds a vibrant touch, and the customizable lighting options allow for personalization to match any gaming setup. The aesthetic appeal of the K10 keyboard is complemented by its durable build, with responsive keys and a solid construction that exudes quality.The wireless functionality of the keyboard is a game-changer for those who value a clutter-free gaming environment. The 2.4GHz wireless connection ensures a stable and lag-free experience, providing the freedom to game from a distance without sacrificing responsiveness. The wireless range is impressive, allowing me to connect seamlessly even from across the room.The inclusion of multimedia hotkeys on the K10 keyboard enhances the overall user experience. Quick access to volume control, media playback, and customizable shortcuts adds convenience during gaming sessions and everyday computer use. The tactile feedback of the keys contributes to a satisfying typing and gaming experience.The accompanying wireless gaming mouse further complements the RedThunder K10 combo. The mouse's ergonomic design ensures a comfortable grip during extended gaming sessions. The adjustable DPI settings (up to 4800 DPI) cater to a variety of gaming preferences, from precise aiming in shooters to swift movements in fast-paced games.The mouse features programmable buttons, adding versatility to my gaming experience. Customizing key bindings through the RedThunder software is straightforward, allowing for personalized macros and button configurations. The built-in RGB lighting on the mouse synchronizes seamlessly with the keyboard, creating a cohesive and visually appealing gaming atmosphere.Battery life is a notable strength of the RedThunder K10 combo. Both the keyboard and mouse boast impressive endurance on a single charge, providing hours of uninterrupted gaming or productivity. The convenience of USB-C charging ensures a quick and hassle-free recharge when needed.Setting up the RedThunder K10 combo was effortless, and the package arrived securely packaged with clear instructions. The plug-and-play design allows for quick installation without the need for additional drivers. RedThunder's commitment to user-friendly design is evident throughout the setup process.In conclusion, the RedThunder K10 Wireless Gaming Keyboard and Mouse combo is a standout choice for gamers seeking a reliable and aesthetically pleasing wireless solution. With its responsive keys, customizable lighting, ergonomic mouse design, and wireless convenience, the K10 combo offers a compelling package at an affordable price. If you're in the market for a wireless gaming keyboard and mouse that delivers on both performance and style, the RedThunder K10 combo is a solid investment.",5,NA
