"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Nurettin","Reviewed in the United States on September 9, 2024","5.0 out of 5 stars","This gaming motherboard offers top-notch performance for AMD Ryzen processors, especially the 5000 series. It’s packed with features like PCIe 4.0 support and dual M.2 slots, which provide excellent speed and future-proofing for gamers and creators alike. The DDR4 memory compatibility ensures smooth multitasking, and the multiple USB 3.2 Gen 2 ports provide fast data transfer options.The ATX form factor offers plenty of room for components, and the build quality is solid. Additionally, the HDMI and DP outputs add versatility for different display setups. The BIOS is easy to navigate, and overclocking settings are straightforward.Overall, this motherboard delivers impressive performance and functionality, making it a great choice for building a powerful gaming PC or a high-performance workstation.",5,NA
"2","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Anthony","Reviewed in the United States on November 27, 2024","","Love the look built durable look great love it  works amazing 👏",5,NA
"3","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Anthony","Reviewed in the United States on October 23, 2024","Excellent Performance and Features for Gaming","Good mobo for oc and easy bios setup. No need to update bios for ryzen 5000 series cpu. Already up to date.",5,NA
"4","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","l34rn","Reviewed in the United States on September 14, 2024","5.0 out of 5 stars","I've been using the MSI MAG B550 TOMAHAWK Gaming Motherboard for a couple of days and so far, I'm impressed. It's been a smooth ride from the moment I plugged it in. The BIOS update was quick and painless, and the board has been running flawlessly ever since.While I can't speak to the longevity of the board just yet, the initial experience has been excellent. If you're looking for a reliable and feature-rich motherboard for your AMD Ryzen build, the MSI MAG B550 TOMAHAWK is definitely worth considering.",5,NA
"5","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Skungili","Reviewed in the United States on September 27, 2024","","Picked this board up as a replacement for a Gigabyte AB350 Gaming 3 which died on me and It's been a smooth transition which is refreshing since this is my first MSI board, I've only used Asus, Asrock & Gigabyte in the past. My 5600X worked immediately without requiring a BIOS update though I highly recommend downloading and flashing the latest BIOS update from MSI's website as soon as you complete your setup to ensure stability. It's a very simple process and for those who are new to bios flashing, just look up a video on youtube.Overall, this is a solid motherboard and I'm satisfied with my purchase. If you like the features it offers and don't mind spending a little extra, opt-in to getting the upgraded version with WiFi.Though your mileage may vary as we all have different specs, here are the pros and cons of this mobo based on my personal experience with it:Pros:Nice features for the price point (2.5G LAN, PCIe 4.0 support, .etc)Sleek design with heatsinks that will compliment the look of any system,Two M.2 slots with protective plating, that don't disable any SATA ports like my previous board,Plenty of SATA ports & fan headers,Easy-to-use BIOS compared to other brand setupsCons:Only 6 back-end USB ports (Not a big deal, but more would be nice without the need of a hub)The on-board LED is in a weird spot. While the light is visible in my third pic as a close-up, bigger GPUs may block it almost entirely. This can be switched off manually on the board itself though. Also, to customize the LED options you have to use the MSI Center program's Mystic Light feature. I would've preferred built-in RGB settings through the bios.Did not play nice with my Corsair Vengeance LPX 32GB RAM, caused BSODs multiple times with XMP both on and off,  and despite working flawlessly on my old board. Currently works fine with an old 16GB 3200mhz kit though.",5,NA
"6","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","XiØN","Reviewed in the United States on October 28, 2024","Great motherboard","Awesome motherboard good rgb setup was very easy would recommend",4,NA
"7","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","XiØN","Reviewed in the United States on May 4, 2021","5.0 out of 5 stars","my last pc i built for myself was a fx6300 on an old msi military board now 20 years old. cleaned it up gave it to a family member. yes it is still being used daily and so when i went to build my new pc it was a no brainer for me to go with msi again. this thing is heavy like a brick. came new no dents dings or cowboy boots.  so yeah read about these ""warning lights"" going nutty ect. that concerned me and there is no documents that explains how they are to work. should they come on then go off ect. so i used a known bad hard drive. yup the light lit up and stayed on even though the drive was acting fine. it knew there was an issue. i used that drive till it died and yup the light never went out. so i put in a new m.2 and 2.5 ssd as well as two 2 tb hard drives. now the lights come on first the hard drive then the graphics then memory. then one at a time as it boots up then they go out. before the lights go out it has to see the whatever and make sure its there and ok then out they go like clock work. now could you get a  board with an issue or maybe using old parts with unknown issues? of course that is what these lights are for and how i :think: they are to work. was i afraid to buy this? yes i was! would i suggest this board? after the use of this for a month bet your booty. this was the best i could do price wise so if you are in a tight spot building price wise and this fits the budget. get it! i watch voltages ect but i do not overclock never needed to. this board has been running great no magor voltage issues or fires lol used with a 3700x and 32 gigs 3600 ven.have seen where others could not get this ram to run at these speeds. read on one article that had like a cpl sentences saying to only install one ram stick as you set up and the rest after you after finished. the first time i used all ram and it didnt run them at these speeds so whatever the one stick thing does if anything would suggest trying that on a fresh install. as for me the second install that way worked... just why i have no idea. i play e sports and triple a games. this has not had one issue or made me scratch my head asking that age old question (ram thing aside)... now what the hell are you doing! LOLonly thing new to me on this board is rgb and argb thing and right off the bat i made the mistake>>>WARNING<<< i bought  a three pack of thermaltake rgb fans. was all the best buy had nearby. of course it needs the usb plug but my wifi needs it as well as my front panal connections. that lead to the purchase of ""Motherboard Internal USB 2.0 Hub 9 pin USB Header Male 1 to 4"" wich you guessed it needs the usb pins. just read how the signals are split on this thing. i placed the wifi on the mb. i set the rgb hub on one side then the font panal on the other side so signals are not sharing or splitting one side in half.",4,NA
"8","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Jacob Jespersen","Reviewed in Brazil on November 14, 2024","","Precisei ir buscar nos correr e a placa veio com dvd e manual faltando !!!! Pelos menos até agora está funcionando",5,NA
"9","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","edshamilton","Reviewed in Canada on July 24, 2024","Good mobo for oc and easy bios setup","",5,NA
"10","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Rodrigo","Reviewed in Mexico on June 26, 2024","5.0 out of 5 stars","The value, it is amazing.  The wonderfully priced item that supports ryzen 5000 and has 2.5 Gbps lan and has plenty of pci e slots to use for add in cards.  Great.  Love this.  I’m using 32 GB of ddr4 3800 mt/s cl 16  and a ryzen 5600x @ 4.9 ghz all core OC this motherboard made that setup easy to attain.  I’m sure it can do more if I tried.",1,NA
"11","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Michael Robinson","Reviewed in Saudi Arabia on July 15, 2024","","El empaque venía bien protegido, el producto venía sin daños tanto en la caja como en su interior, tocará instalarla y probar que todo funcione, pero hasta el momento todo parece estar en orden",5,NA
"12","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Michael Robinson","Reviewed in Germany on July 7, 2024","MSI MAG B550 TOMAHAWK Gaming Motherboard: A Solid Performer","",5,NA
"13","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Carlos Gustavo Salomon Martinez",NA,"4.0 out of 5 stars","انصح به",5,NA
"14","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","Carlos Gustavo Salomon Martinez",NA,"","Top hat meine erwartung voll und ganz erfüllt",5,NA
"15","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","عبدالرحمن الشراري",NA,"Good Features at a Great Price","",5,NA
"16","Motherboard","MSI MAG B550 TOMAHAWK Motherboard","salzfee",NA,"5.0 out of 5 stars",NA,5,NA
