"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Michael D. Anderson","Reviewed in the United States on November 29, 2024","5.0 out of 5 stars","I've been using my first CyberPowerPC since around 2017, and it's still meeting my needs. However, it was time for my young son to begin his foray into gaming and I ordered this computer as a good machine for a reasonable price last week. It arrived very quickly, easy to set up (we had an issue with the mouse but tech support took care of that hiccup the same day so no complaints). We've been using the computer pretty much four or five hours a day gaming since it arrived and the games run smoothly and without any issues. The design is actually very nice, the multiple fans help ensure it's not going to overheat and all in all, we're very pleased.",5,NA
"2","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Robert W Irion","Reviewed in the United States on November 27, 2024","","I got this computer so that I could game with my son. It is very fast and I have had no problems with the unit.",5,NA
"3","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Oscar Dauer","Reviewed in the United States on November 15, 2024","Second CyberPowerPC and this one is just as exceptional","I wish that this hadn't happened, as this was a great gaming PC, until one of the cooling fans stopped working.  However, it was disheartening that it happened so soon, after and easy set up.... All the PC manufacturer offered to do was to send me another replacement fan, and have me install it..... that's the best they could do under their warranty?  Sorry, myself doing my own warranty labor repairs is not acceptable, and shipping it down to them for a 14-21 day duration wasn't an acceptable option as well.... I will likely be looking at a completely different source for my next gaming PC purchase....",1,NA
"4","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Jesse Haushalter","Reviewed in the United States on November 7, 2024","5.0 out of 5 stars","this was my first prebuild and I'm happy to say that so far it's going quite spectacularly. I'll update in a year with my overall satisfaction.",5,NA
"5","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Amazon Customer","Reviewed in the United States on November 10, 2024","","Need more ram but. It's s decent computers . Runs good",4,NA
"6","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Amazon Customer","Reviewed in the United States on November 17, 2024","Excellent gaming computer","I have had this PC for a month now. I got this PC for gaming and have been enjoying every Minute of it.I did a lot of shopping around before I found this PC it had the best setup of parts for my price range.it was shipped quickly and safely I believe it's a great stating pc for anyone looking for gaming for a midrange budget PC.",4,NA
"7","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","edward kenyon","Reviewed in the United States on November 26, 2024","1.0 out of 5 stars","I just got the machine today and the Ram that it came with fell out of the slot, it wouldn’t click in and secure correctly. The T-Force DDR5 Ram is not to be trusted just grab 32Gb of Corsair if you’re looking. Also I have to go through 3 drill bits to remove the stock graphics card. It runs now but it shouldn’t be that in-depth for a pre-built.",5,NA
"8","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Patrick M","Reviewed in the United States on November 29, 2024","","",3,NA
"9","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Patrick M","Reviewed in Canada on November 8, 2024","Cooling Fan Failed After Less Than Two Weeks","The media could not be loaded.",3,NA
"10","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Madison","Reviewed in Canada on November 29, 2024","5.0 out of 5 stars","Honestly I was skeptical about ordering a prebuilt pc for many obvious reasons, but this has exceeded my expectations! The box came very tightly packed to hold everything in place while shipping and there was a foam piece in the inside the glass to help. Very easy to setup only took a few minutes. The processing speed is amazing compared to what I’m used to.That all being said, my keyboard came with a broken left shift key, it worked occasionally but then would stop working and as a gamer you kinda need that left shift key. I’m not one to complain or even write reviews but I contacted cyberpowerpc (after the 30 day amazon window) and they were totally helpful in getting me a new keyboard free of charge. They were very kind and friendly, also helped me register my pc. They also sent me a free mouse pad.I would completely buy from them again and they do a wonderful job in all areas. Thanks cyberpowerpc!!",5,NA
"11","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Emie","Reviewed in Canada on November 28, 2024","","",3,NA
"12","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Josh Strachan",NA,"first time purchaser","The media could not be loaded.",1,NA
"13","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Josh Strachan",NA,"4.0 out of 5 stars","J’ai reçu l’article endommagé pendant le transport, il n’était définitivement pas emballé assez sécuritairement et les transporteurs n’ont pas été délicat. Il m’est impossible de retourner l’article car c’est mon outil principal de travail et je l’attendais avec impatience. Ce qui est décevant c’est que après avoir contacté le service à la clientèle on m’a avisé qu’ils ne pouvaient rien faire pour moi sauf un retour, ce qui n’est pas une option dans mon cas. Sauf le problème d’emballage et de transport, l’ordinateur fonctionne bien et répond à mes attentes.",1,NA
"14","PC","CyberPowerPC Gamer Xtreme VR Gaming PC","Rahul Kumar",NA,"","",1,NA
